ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND1000652C5,230005,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-14,---
CND1000652Y9,239916,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-10,---
CND1000652D3,239915,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-08,---
CND1000652F8,239914,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-08,---
CND1000651L8,239913,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-03,---
CND100064S52,239912,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-03,---
CND100064RF6,239911,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-24,---
CND100063XD1,230004,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-24,---
CND100063PG0,239910,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-17,---
CND1000639M1,230003,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-14,---
CND1000639H1,239909,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-10,---
CND1000620Q2,239907,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-08,---
CND1000620P4,239908,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-08,---
CND100061ZY6,239906,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-03,---
CND100060110,239905,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-03,---
CND10005ZVC7,239904,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZT18,230002,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZT00,239903,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZT26,230001,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZTL2,239902,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-11,---
CND10005ZTM0,239901,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-11,---
